"GBAC","country","host","collection_date","serotype","Topotype","color"
"MG334583/IRQ/cow/2009/A","IRQ","cow",2009,"A","ASIA","#BEBE29"
"MG725872/NER/cow/2013/A","NER","cow",2013,"A","AFRICA","#8BD4C7"
"MG725873/NER/cow/2015/A","NER","cow",2015,"A","AFRICA","#97DDD1"
"MG725874/NER/cow/2015/A","NER","cow",2015,"A","AFRICA","#87D0C4"
"MG725875/NER/cow/2015/A","NER","cow",2015,"A","AFRICA","#9FE4D8"
"MG725876/NER/cow/2015/A","NER","cow",2015,"A","AFRICA","#9BE0D4"
"MG923579/DZA/cattle/2017/A","DZA","cattle",2017,"A","AFRICA","#93DACE"
"MG923580/DZA/cattle/2017/A","DZA","cattle",2017,"A","AFRICA","#8FD7CB"
"MH053305/EGY/cattle/1972/A","EGY","cattle",1972,"A","AFRICA","#4CA093"
"MH053306/TCD/cattle/1973/A","TCD","cattle",1973,"A","AFRICA","#60B0A4"
"MH053307/ZMB/cattle/1990/A","ZMB","cattle",1990,"A","AFRICA","#3D9487"
"MH746921/USA/cow/2017/A","USA","cow",2017,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9F99C0"
"MK940253/SAU/cattle/2017/A","SAU","cattle",2017,"A","ASIA","#B4B40F"
"MN062586/AFG/cattle/2009/A","AFG","cattle",2009,"A","ASIA","#BBBB21"
"MN062587/PAK/cattle/2009/A","PAK","cattle",2009,"A","ASIA","#BCBC22"
"MN116688/KEN/cow/2016/A","KEN","cow",2016,"A","AFRICA","#40978A"
"MT340197/VNM/cattle/2017/A","VNM","cattle",2017,"A","ASIA","#DFDF7A"
"MT340198/VNM/cattle/2017/A","VNM","cattle",2017,"A","ASIA","#E5E588"
"MT340199/VNM/cattle/2017/A","VNM","cattle",2017,"A","ASIA","#E3E384"
"MT340200/VNM/cattle/2017/A","VNM","cattle",2017,"A","ASIA","#E0E07C"
"MT340201/VNM/cattle/2017/A","VNM","cattle",2017,"A","ASIA","#E4E487"
"MT340202/VNM/cattle/2017/A","VNM","cattle",2017,"A","ASIA","#E2E282"
"MT340203/VNM/cattle/2017/A","VNM","cattle",2017,"A","ASIA","#E1E180"
"MT340204/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#DDDD74"
"MT340205/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#DBDB71"
"MT340206/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#DFDF79"
"MT340207/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#DEDE78"
"MT340208/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#DEDE77"
"MT340209/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#DCDC73"
"MT340210/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#DCDC72"
"MT340211/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E4E486"
"MT340212/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E4E485"
"MT340213/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E6E68A"
"MT340214/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E6E68B"
"MT340215/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E2E281"
"MT340216/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E0E07B"
"MT340217/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E7E78E"
"MT340218/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E7E78D"
"MT340219/VNM/cattle/2018/A","VNM","cattle",2018,"A","ASIA","#E5E589"
