GBAC,Year,Country,Host,Serotype,Topotype,Lineage,pool
OQ211355/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211354/PSE/cattle/2007/O/ME-SA/PanAsia-2,2007,PSE,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211353/ISR/sheep/2007/O/ME-SA/PanAsia-2,2007,ISR,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211352/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211350/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211349/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ557397/ETH/cow/2022/SAT2/XIV/Unknown,2022,ETH,cow,SAT2,XIV,,Pool4
OQ557396/ETH/cattle/1991/SAT2/XIV/Unknown,1991,ETH,cattle,SAT2,XIV,,Pool4
OQ457195/NER/cattle/2020/O/EA-3/Unknown,2020,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OQ457194/NER/cattle/2020/O/EA-3/Unknown,2020,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OQ457193/NER/cattle/2020/O/EA-3/Unknown,2020,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OQ457192/NER/cattle/2020/O/EA-3/Unknown,2020,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OQ457186/NER/cattle/2020/O/EA-3/Unknown,2020,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OQ745961/THA/cattle/2016/A/ASIA/Sea-97,2016,THA,cattle,A,ASIA,Sea-97,Pool1
OQ401874/NER/cattle/2020/SAT2/VII/Unknown,2020,NER,cattle,SAT2,VII,,Pool5
OQ401873/NER/cattle/2020/SAT2/VII/Unknown,2020,NER,cattle,SAT2,VII,,Pool5
OQ401872/NER/cattle/2020/SAT2/VII/Unknown,2020,NER,cattle,SAT2,VII,,Pool5
OQ401869/NER/cattle/2020/SAT2/VII/Unknown,2020,NER,cattle,SAT2,VII,,Pool5
OQ401868/NER/cattle/2020/SAT2/VII/Unknown,2020,NER,cattle,SAT2,VII,,Pool5
LC771233/IRQ/water-buffalo/2023/A/AFRICA/Unknown,2023,IRQ,water-buffalo,A,AFRICA,,Pool3
LC770123/IRQ/cattle/2023/SAT1/VII-EA-2/Unknown,2023,IRQ,cattle,SAT1,VII-EAST-AFRICA-2-EA-2,,Pool3
OP957418/BGD/cattle/2021/O/ME-SA/PanAsia-2,2021,BGD,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool2
ON868623/VNM/pig/2017/O/CATHAY/Unknown,2017,VNM,pig,O,CATHAY,,Pool1
ON868622/VNM/pig/2017/O/CATHAY/Unknown,2017,VNM,pig,O,CATHAY,,Pool1
ON868620/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868619/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868618/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868617/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868616/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868615/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868614/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868613/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868612/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868611/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868610/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868608/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868607/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868606/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868605/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868604/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868603/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868602/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868600/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868599/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868598/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868597/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868596/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868595/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868594/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868593/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868592/VNM/pig/2018/O/SEA/Unknown,2018,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868591/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868590/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868589/VNM/pig/2019/O/SEA/Unknown,2019,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
ON868579/VNM/cow/2017/O/ME-SA/Unknown,2017,VNM,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON868557/VNM/water-buffalo/2018/O/ME-SA/Unknown,2018,VNM,water-buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON868552/VNM/pig/2019/O/ME-SA/Unknown,2019,VNM,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON868549/VNM/cow/2018/O/ME-SA/Unknown,2018,VNM,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON868547/VNM/cow/2018/O/ME-SA/Unknown,2018,VNM,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON868542/VNM/pig/2018/O/ME-SA/Unknown,2018,VNM,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON868528/VNM/pig/2018/O/ME-SA/Unknown,2018,VNM,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON868521/VNM/pig/2018/O/ME-SA/Unknown,2018,VNM,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
ON557390/ZMB/cow/2015/SAT3/I-SEZ/Unknown,2015,ZMB,cow,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,Pool6
OP751924/IDN/cattle/2022/O/ME-SA/Unknown,2022,IDN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,
ON784047/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
ON784046/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
ON784045/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
ON736860/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
OM863583/KEN/cattle/2013/SAT1/I-NWZ/Unknown,2013,KEN,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
OM863582/KEN/cattle/2010/SAT1/I-NWZ/Unknown,2010,KEN,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
