# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 22:48:09 MSK 2025 [seed=1735846506594]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
162000	-7549.551354158875	-7807.168939656664	-257.6175854977888	1.0	-7807.168939656664
163000	-7669.227360065406	-7802.83925446065	-133.61189439524415	1.0	-7802.83925446065
164000	-7682.914985948574	-7784.52848945171	-101.61350350313583	1.0	-7784.52848945171
165000	-7688.337497554193	-7777.726485026253	-89.38898747205957	1.0	-7777.726485026253
166000	-7710.93232994228	-7762.727260420017	-51.79493047773697	1.0	-7762.727260420017
167000	-7705.942247608472	-7756.716778742545	-50.774531134073634	1.0	-7756.716778742545
168000	-7708.26937584404	-7758.3953969583745	-50.126021114334314	1.0	-7758.3953969583745
169000	-7705.55307178092	-7763.538376400882	-57.98530461996269	1.0	-7763.538376400882
170000	-7710.659935490588	-7767.678889472926	-57.018953982338004	1.0	-7767.678889472926
171000	-7703.065769375107	-7756.069084964502	-53.0033155893947	1.0	-7756.069084964502
172000	-7705.792709207553	-7757.167728392871	-51.37501918531804	1.0	-7757.167728392871
173000	-7706.737365734702	-7759.541469577831	-52.804103843129596	1.0	-7759.541469577831
174000	-7703.686807025681	-7750.883844604925	-47.19703757924368	1.0	-7750.883844604925
175000	-7702.57590185537	-7757.8041265655365	-55.22822471016633	1.0	-7757.8041265655365
176000	-7708.377158691921	-7766.075864328662	-57.69870563674066	1.0	-7766.075864328662
177000	-7699.1557061408985	-7757.403919589773	-58.24821344887459	1.0	-7757.403919589773
178000	-7697.397735736665	-7754.95155732604	-57.55382158937498	1.0	-7754.95155732604
179000	-7703.5364690062	-7760.872458760271	-57.33598975407096	1.0	-7760.872458760271
180000	-7701.089031994638	-7754.817093694889	-53.72806170025037	1.0	-7754.817093694889
181000	-7702.0320956644055	-7771.17167164692	-69.13957598251419	1.0	-7771.17167164692
182000	-7695.165741323915	-7778.830221522144	-83.66448019822843	1.0	-7778.830221522144
183000	-7698.304529070983	-7765.996137755387	-67.69160868440424	1.0	-7765.996137755387
184000	-7708.350229298549	-7759.903638076778	-51.5534087782296	1.0	-7759.903638076778
185000	-7703.190019222146	-7752.603709551131	-49.41369032898535	1.0	-7752.603709551131
186000	-7703.681322386859	-7760.37706929054	-56.69574690368083	1.0	-7760.37706929054
187000	-7703.8510574229795	-7758.825395282617	-54.974337859637245	1.0	-7758.825395282617
188000	-7704.421388092707	-7758.471227698288	-54.04983960558093	1.0	-7758.471227698288
189000	-7700.366490225665	-7766.004247904825	-65.6377576791603	1.0	-7766.004247904825
190000	-7700.7920789027485	-7763.804491777692	-63.01241287494383	1.0	-7763.804491777692
191000	-7702.34172217799	-7755.092075121408	-52.75035294341768	1.0	-7755.092075121408
192000	-7703.766034412967	-7765.132201438853	-61.366167025886504	1.0	-7765.132201438853
193000	-7700.664158780612	-7779.987274690221	-79.32311590960964	1.0	-7779.987274690221
194000	-7688.412771981988	-7776.668441921603	-88.25566993961465	1.0	-7776.668441921603
195000	-7664.351509818356	-7785.608827660551	-121.2573178421948	1.0	-7785.608827660551
196000	-7488.09883975781	-7809.823842355382	-321.7250025975714	1.0	-7809.823842355382
197000	-7551.834742453808	-7812.726983348383	-260.89224089457554	1.0	-7812.726983348383
198000	-7607.744098034915	-7805.359159265925	-197.61506123101054	1.0	-7805.359159265925
199000	-7660.842015400448	-7799.683712478566	-138.84169707811793	1.0	-7799.683712478566
200000	-7653.7078796307815	-7790.098187842045	-136.39030821126337	1.0	-7790.098187842045
201000	-7688.239948289837	-7782.982650739905	-94.74270245006767	1.0	-7782.982650739905
202000	-7661.5520943809615	-7785.718898352773	-124.1668039718115	1.0	-7785.718898352773
203000	-7611.95629760906	-7801.626978263628	-189.67068065456772	1.0	-7801.626978263628
204000	-7661.19860609043	-7790.605150485429	-129.4065443949983	1.0	-7790.605150485429
205000	-7685.952358138773	-7791.496269281617	-105.54391114284363	1.0	-7791.496269281617
206000	-7702.981778667627	-7758.165414117683	-55.18363545005615	1.0	-7758.165414117683
207000	-7707.897013406434	-7764.564988392059	-56.6679749856249	1.0	-7764.564988392059
208000	-7702.553914207262	-7759.087047835638	-56.533133628375936	1.0	-7759.087047835638
209000	-7704.135747049966	-7759.032616030104	-54.89686898013783	1.0	-7759.032616030104
210000	-7706.387817569645	-7768.821503138605	-62.43368556895952	1.0	-7768.821503138605
211000	-7644.045660172636	-7786.9354018255535	-142.8897416529169	1.0	-7786.9354018255535
212000	-7579.533727403024	-7802.495878939738	-222.96215153671307	1.0	-7802.495878939738
213000	-7589.217382278581	-7815.442320205427	-226.22493792684585	1.0	-7815.442320205427
214000	-7309.969603106219	-7822.846578664093	-512.8769755578729	1.0	-7822.846578664093
215000	-7623.8951485212765	-7805.431103641531	-181.53595512025495	1.0	-7805.431103641531
216000	-7558.00212984022	-7808.562858259052	-250.56072841883204	1.0	-7808.562858259052
217000	-7604.230809551575	-7808.605626683027	-204.37481713145243	1.0	-7808.605626683027
218000	-7690.8315586961	-7791.510498349926	-100.67893965382581	1.0	-7791.510498349926
219000	-7693.641306101528	-7777.510479636425	-83.8691735348963	1.0	-7777.510479636425
