# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 20:30:08 MSK 2025 [seed=1735838298589]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
111000	-7718.408971934237	-7836.176523991813	-117.76755205757577	1.0	-7836.176523991813
112000	-7706.309014203852	-7830.591187674482	-124.2821734706302	1.0	-7830.591187674482
113000	-7714.769406993722	-7830.21443374533	-115.44502675160753	1.0	-7830.21443374533
114000	-7716.858984019523	-7831.31766764183	-114.4586836223073	1.0	-7831.31766764183
115000	-7715.294985814635	-7835.471305754783	-120.17631994014887	1.0	-7835.471305754783
116000	-7715.3309960070765	-7835.038342936403	-119.70734692932669	1.0	-7835.038342936403
117000	-7716.493826419702	-7834.580903267645	-118.08707684794351	1.0	-7834.580903267645
118000	-7719.661780570811	-7838.388579107526	-118.7267985367153	1.0	-7838.388579107526
119000	-7717.712227464595	-7832.799936380138	-115.08770891554266	1.0	-7832.799936380138
120000	-7716.700956082238	-7837.195710572057	-120.49475448981879	1.0	-7837.195710572057
121000	-7715.465094179546	-7829.367045300497	-113.90195112095078	1.0	-7829.367045300497
122000	-7716.074445014177	-7826.5267604350765	-110.4523154208992	1.0	-7826.5267604350765
123000	-7715.027653365855	-7829.878769730391	-114.85111636453532	1.0	-7829.878769730391
124000	-7716.517421213015	-7835.996187991588	-119.47876677857352	1.0	-7835.996187991588
125000	-7718.0552726247315	-7843.4262095596205	-125.37093693488931	1.0	-7843.4262095596205
126000	-7712.3691993842285	-7839.939952335631	-127.5707529514023	1.0	-7839.939952335631
127000	-7715.939862391392	-7837.281858946723	-121.34199655533159	1.0	-7837.281858946723
128000	-7715.82780322943	-7840.480461333994	-124.65265810456368	1.0	-7840.480461333994
129000	-7707.894417471262	-7835.618294360359	-127.72387688909632	1.0	-7835.618294360359
130000	-7707.7353615212505	-7840.7473690633105	-133.0120075420598	1.0	-7840.7473690633105
131000	-7708.254027512834	-7828.002882142992	-119.74885463015868	1.0	-7828.002882142992
132000	-7718.700281817534	-7840.158552890415	-121.45827107288115	1.0	-7840.158552890415
133000	-7712.015454765779	-7829.46075351261	-117.44529874683026	1.0	-7829.46075351261
134000	-7708.842408896295	-7825.989309848513	-117.14690095221826	1.0	-7825.989309848513
135000	-7720.519574975004	-7831.882939588697	-111.36336461369324	1.0	-7831.882939588697
136000	-7721.119326825548	-7828.380246234577	-107.26091940902832	1.0	-7828.380246234577
137000	-7716.646809513357	-7822.780804525452	-106.13399501209543	1.0	-7822.780804525452
138000	-7721.094366310712	-7833.668120025186	-112.57375371447397	1.0	-7833.668120025186
139000	-7714.105538449612	-7823.845148488351	-109.73961003873828	1.0	-7823.845148488351
140000	-7717.087522358803	-7827.949892483308	-110.86237012450466	1.0	-7827.949892483308
141000	-7725.447055949184	-7846.871591673163	-121.42453572397851	1.0	-7846.871591673163
142000	-7716.734528576732	-7834.529819153502	-117.79529057676966	1.0	-7834.529819153502
143000	-7718.35191460128	-7838.462622841537	-120.11070824025683	1.0	-7838.462622841537
144000	-7709.628705018153	-7838.744046242556	-129.11534122440335	1.0	-7838.744046242556
145000	-7722.546119432396	-7838.879186336762	-116.33306690436635	1.0	-7838.879186336762
146000	-7719.448189160048	-7838.878459702472	-119.43027054242407	1.0	-7838.878459702472
147000	-7719.275750611589	-7836.920900707102	-117.64515009551343	1.0	-7836.920900707102
148000	-7715.945731119656	-7839.175892110086	-123.23016099043066	1.0	-7839.175892110086
149000	-7717.126860582872	-7834.729722318812	-117.60286173593997	1.0	-7834.729722318812
150000	-7719.14148216866	-7830.968379362719	-111.82689719405906	1.0	-7830.968379362719
151000	-7716.820324967167	-7828.925515290089	-112.10519032292198	1.0	-7828.925515290089
152000	-7716.886040842084	-7826.6110357710895	-109.72499492900558	1.0	-7826.6110357710895
153000	-7717.988158240463	-7830.012195115811	-112.02403687534793	1.0	-7830.012195115811
